Coccothraustes coccothraustes
Catharus guttatus
Lophophorus impejanus
Opisthocomus hoazin
Corvus cornix
Lophodytes cucullatus
Spinus magellanicus
Setophaga citrina
Oreophasis derbianus
Eremophila alpestris
Chrysococcyx basalis
Mirafra javanica
Corvus splendens
Haemorhous mexicanus
Passer domesticus
Troglodytes aedon
Cyanopica cooki
Ibidorhyncha struthersii
Columbina inca
Larosterna inca
Cursorius coromandelicus
Terpsiphone paradisi
Pavo cristatus
Gyps indicus
Passerina cyanea
Passer italiae
Pagophila eburnea
Jabiru mycteria
Baeolophus ridgwayi
Nestor notabilis
Ramphastos sulfuratus
Larus dominicanus
Hemiphaga novaeseelandiae
Charadrius vociferus
Somateria spectabilis
Rallus elegans
Sarcoramphus papa
Anthornis melanura
Strigops habroptila
Corvus macrorhynchos
Leucophaeus atricilla
Dacelo novaeguineae
Passerina amoena
Thinocorus rumicivorus
Fregata ariel
Tympanuchus pallidicinctus
Dryobates minor
Sylvia curruca
Meliphaga lewinii
Aramus guarauna
Melospiza lincolnii
Dryocopus lineatus
Egretta caerulea
Tetrax tetrax
Egretta garzetta
Tachybaptus ruficollis
Athene noctua
Eudyptula minor
Microcarbo melanoleucos
Charadrius dubius
Crypturellus soui
Lanius ludovicianus
Urodynamis taitensis
Aegithalos caudatus
Cephalopterus penduliger
Gallicolumba luzonica
Pterodroma magentae
Fregata magnificens
Grallina cyanoleuca
Lophochroa leadbeateri
Anas platyrhynchos
Leipoa ocellata
Aix galericulata
Chenonetta jubata
Puffinus puffinus
Ptilinopus perousii
Sporophila palustris
Poecile palustris
Acrocephalus palustris
Vanellus miles
Anthus pratensis
Puffinus yelkouan
Falco columbarius
Ictinia mississippiensis
Dicaeum hirundinaceum
Sylvia subalpina
Myiopsitta monachus
Circus pygargus
Sialia currucoides
Poecile gambeli
Oreortyx pictus
Zenaida macroura
Cairina moschata
Biziura lobata
Cygnus olor
Aratinga nenday
Nannopterum brasilianum
Phylidonyris novaehollandiae
Poliocephalus rufopectus
Sternula nereis davisae
Falco novaeseelandiae
Xenicus gilviventris
Aythya novaeseelandiae
Caloenas nicobarica
Manorina melanocephala
Apteryx mantelli
Callaeas wilsoni
Colinus virginianus
Cardinalis cardinalis
Colaptes auratus
Morus bassanus
Accipiter gentilis
Circus hudsonius
Mimus polyglottos
Anas acuta
Aegolius acadicus
Spatula clypeata
Meleagris ocellata
Steatornis caripensis
Cinnyris jugularis
Passerina leclancherii
Megapodius reinwardt
Phodilus badius
Copsychus saularis
Neochen jubata
Pandion haliaetus
Seiurus aurocapilla
Anas superciliosa
Haliaeetus pelagicus
Passerina ciris
Myioborus pictus
Tadorna variegata
Tangara chilensis
Loxia pytyopsittacus
Geopelia placida
Falco peregrinus
Phrygilus punensis
Psittrichas fulgidus
Phainopepla nitens
Centropus phasianinus
Pithecophaga jefferyi
Podilymbus podiceps
Dryocopus pileatus
Pinicola enucleator
Spinus pinus
Malacorhynchus membranaceus
Urocynchramus pylzowi
Charadrius melodus
Ortalis vetula
Pedionomus torquatus
Phoenicurus fuliginosus
Falco mexicanus
Astrapia stephaniae
Protonotaria citrea
Haemorhous purpureus
Porphyrio martinicus
Ardea purpurea
Progne subis
Cinnyris asiaticus
Sitta pygmaea
Cardinalis sinuatus
Porphyrio melanotus
Zonotrichia querula
Trichoglossus moluccanus
Amandava amandava
Loxia curvirostra
